cluster,n_players,minutes_total,shots_per90,crosses_per90,passes_per90,carries_per90,xg_per90,avg_pass_length
0,78,68322,0.03,0.04,31.9,22.32,0.0,31.52
1,70,103116,0.97,0.93,28.78,23.26,0.09,21.5
2,91,100092,0.86,1.1,42.95,34.85,0.08,21.87
3,37,63650,0.95,0.95,27.72,22.42,0.08,21.21
4,33,2325,1.55,1.32,34.14,27.44,0.18,21.15
5,97,123642,1.04,1.03,36.96,29.62,0.11,21.83
6,64,56714,1.12,1.49,44.54,35.98,0.12,20.98
7,47,76769,0.91,0.89,29.26,23.46,0.07,21.61
8,94,132190,1.01,0.99,38.3,30.74,0.12,22.25
9,31,17560,1.12,1.36,44.09,35.74,0.12,21.32
