team_id,xg_per_match
2757,1.9672149170566664
2751,2.409582348016667
2750,1.8124008541655172
2765,2.146424444793104
2769,2.3047042556033333
2759,2.139065627559375
2747,2.1584823420642856
2760,2.336776297006667
2766,2.16194178401875
2715,2.281616806634375
2770,2.2804737316633337
2764,2.0314516047928577
2753,2.286283635848148
3483,1.7569723370878787
3478,1.9903403149966665
2749,2.4944308499827583
2752,1.9937749431714287
2758,2.227094082086207
2767,1.9910501888750003
2756,1.849338085366667
4178,2.077247585455172
2748,1.8394084746935486
2746,1.76490130494
2755,2.1208135202266667
